nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 GILLIANO FRED NASCIMENTO CUTRIM,M,76,11,5,22,27,4, 26/10/1979,399839.52,46898.79,67888.19,,,,,,,,,,0,1115308.02,111301.75,111301.75,111619.5,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56,,,33763.0,0
 FERNANDO LÚCIO GIACOBO,M,86,5,1,13,7,1, 17/12/1970,365841.43,27455.42,71220.31,,,,,,,,,,0,1096371.61,110392.0,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31,,,33763.0,0
 GILBERTO APARECIDO ABRAMO,M,85,5,2,19,6,1, 06/08/1966,216901.65,18146.52,180118.16,,,,,,,,,,0,1077796.52,106564.34,106564.34,107092.65,108384.08,108384.08,108384.08,107270.71,108384.08,108384.08,108384.08,,,33763.0,0
 GILSON MARQUES VIEIRA,M,88,0,4,40,5,5, 12/04/1981,50883.26,3483.84,387772.32,,,,,,,,,,0,798657.16,78079.2,78079.2,78079.2,79784.92,80772.44,80772.44,80772.44,80772.44,80772.44,80772.44,,,33763.0,0
 GILBERTO NASCIMENTO SILVA,M,65,0,27,29,9,3, 09/07/1956,400488.83,42667.83,62821.82,,,,,,,,,,0,1077002.9,110917.37,111198.75,111198.75,111198.75,106097.59,109244.31,100666.68,106570.48,106570.48,103339.74,,,33763.0,0
 EMANUEL PINHEIRO DA SILVA PRIMO,M,70,19,3,11,7,1, 05/01/1995,256826.54,18918.9,181736.73,,,,,,,,,,0,1067534.67,108820.92,109941.35,111435.25,111435.25,110245.56,109803.54,108192.76,97773.24,100583.45,99303.35,,,33763.0,0
 GIOVANI CHERINI,M,86,3,3,40,13,3, 23/06/1960,411793.6,35135.42,52724.74,,,,,,,,,,0,1114323.38,111574.7,111574.7,111574.7,111574.7,111574.7,110520.47,111205.28,111574.71,111574.71,111574.71,,,33763.0,0
 GIOVANI BATISTA FELTES,M,91,1,0,18,4,0, 10/04/1957,292295.12,32091.85,157339.78,,,,,,,,,,0,1095245.29,111083.28,111101.04,111544.86,109378.77,108521.73,109627.69,107747.07,108089.89,109075.48,109075.48,,,33763.0,0
 EMIDIO ALVES MADEIRA JUNIOR,M,80,0,12,16,2,4, 10/03/1967,299796.22,56761.57,106563.93,,,,,,,,,,0,1114845.39,110980.22,110980.22,111528.12,111617.15,111623.22,111623.22,111623.28,111623.32,111623.32,111623.32,,,33763.0,0
 ENEIAS JOSÉ DOS REIS,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,5,0,43,21,0, 06/08/1994,311478.65,24947.21,110883.62,,,,,,,,,,0,1106991.7,111586.88,111302.18,110816.09,106788.8,110974.2,110159.38,111013.37,111312.77,111544.46,111493.57,,,33763.0,0
 EUCLYDES MARCOS PETTERSEN NETO,M,77,1,14,6,13,6, 15/08/1984,229414.98,39458.55,170987.43,,,,,,,,,,0,1102008.88,101942.13,110241.46,111623.19,111623.22,111623.22,110951.73,109856.3,110901.19,111623.22,111623.22,,,33763.0,
 EROS FERREIRA BIONDINI,M,88,0,4,33,14,1, 20/05/1971,271458.23,20515.33,125609.91,,,,,,,,,,0,836020.4,90223.04,90223.04,86035.27,78682.22,79786.71,78922.44,78922.44,79682.04,86771.6,86771.6,,,33763.0,0
 ENIO JOSÉ VERRI,M,89,1,2,32,4,0, 27/03/1961,341401.56,38190.58,86188.9,,,,,,,,,,0,1111367.61,111398.83,111398.83,111398.83,110220.44,110749.59,110538.29,111455.18,110876.18,111665.72,111665.72,,,33763.0,0
 EVAIR VIEIRA DE MELO,M,87,2,3,67,4,1, 02/04/1972,308184.85,38264.38,113400.38,,,,,,,,,,0,1096962.77,106904.01,110527.26,107201.84,107178.21,108042.26,111172.72,111328.33,111555.88,111526.13,111526.13,,,33763.0,0
 EVANDRO ROGERIO ROMAN,M,27,0,0,1,7,0,,153891.12,28171.88,0.0,,,,,,,,,,0,353461.3,111151.0,111580.69,111181.91,19547.7,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 FABIANO GALLETTI TOLENTINO,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 EXPEDITO GONCALVES FERREIRA NETTO,M,82,1,9,2,16,3, 05/10/1988,210097.39,14767.54,270300.0,,,,,,,,,,0,1099381.29,111544.33,111544.33,111544.33,111529.16,111539.45,111100.52,109785.83,109894.82,110132.19,100766.33,,,33763.0,0
