nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88,4,0,19,17,0, 22/12/1961,289106.94,37959.25,46993.7,34431.36,27698.63,36101.94,23280.97,25058.29,19706.66,17071.96,19557.03,1247.15,0,1073082.8,106849.52,105995.76,104102.48,110337.36,103699.99,104762.87,104762.87,110775.07,111665.77,110131.11,,,33763.0,0
 FELIPE AUGUSTO LYRA CARRERAS,M,77,9,6,70,33,9, 16/04/1975,184012.22,14274.35,25074.36,24477.74,14515.87,21740.82,16037.4,21745.42,29974.45,4715.52,11456.29,0.0,0,1110530.22,108137.52,111659.58,111659.58,111659.58,111659.58,111571.02,109331.88,111617.16,111617.16,111617.16,,,33763.0,0
 FÁBIO LUIZ SCHIOCHET FILHO,M,85,4,3,20,5,2, 31/05/1988,376844.53,37195.31,41648.6,42043.11,46815.31,43700.43,50091.13,31304.74,25939.12,21593.26,32923.73,3589.79,0,1114119.12,111568.63,111568.63,111568.63,111568.63,111568.63,111544.55,111526.14,111107.56,111107.56,110990.16,,,33763.0,0
 FELÍCIO LATERÇA DE ALMEIDA,M,84,1,7,103,6,6, 26/05/1967,350247.62,33761.68,41861.86,62060.32,40359.41,38642.49,19555.55,31845.6,22935.73,20966.82,36513.88,1744.28,0,1070004.37,103822.74,108245.62,111562.78,109721.17,92281.25,106166.2,108227.55,109988.01,108902.3,111086.75,,,33763.0,0
 FAUSTO RUY PINATO,M,77,3,12,43,11,11, 01/06/1977,338123.53,23272.69,28054.73,37320.63,39811.88,63069.18,29443.84,35430.36,32548.24,26577.3,22521.07,73.61,0,980822.68,91753.84,90661.58,91078.38,93641.4,98083.43,98203.3,101733.13,105365.38,105151.12,105151.12,,,33763.0,0
 FABIO DE ALMEIDA REIS,M,80,8,4,35,1,0, 15/04/1977,312655.57,39865.8,33581.68,32144.11,43493.01,38648.54,34772.71,32086.43,21185.4,13796.32,22090.53,991.04,0,1107209.05,108307.92,109336.37,109408.57,111574.66,111574.66,111574.66,111574.66,111574.66,111574.66,110708.23,,,33763.0,0
 FABIO CRUZ MITIDIERI,M,54,8,10,17,19,8, 24/02/1977,227041.28,35258.61,43620.72,33042.39,44648.72,45112.33,24812.68,545.83,0.0,,,,0,1085769.32,109876.31,106389.76,109876.31,109876.31,109876.31,107693.02,97566.52,111538.26,111538.26,111538.26,,,33763.0,0
 LUIS FELIPE BONATTO FRANCISCHINI,M,86,4,2,26,39,1, 02/10/1991,290395.16,36420.46,40851.46,28714.76,44628.8,52025.43,41969.22,15569.99,12110.34,3776.09,14128.61,200.0,0,1107177.89,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,110754.73,107237.53,107993.61,,,33763.0,0
 FELIPE RIGONI LOPES,M,86,0,6,84,32,7, 13/06/1991,314203.45,41526.2,38040.74,37743.41,40781.58,54439.33,34092.96,18297.1,23638.57,9243.23,14963.23,1437.1,0,961510.1,97934.05,100493.35,100959.56,100959.56,104522.55,89598.5,80482.02,93565.41,93565.41,99429.69,,,33763.0,0
 FERNANDO BORJA PINTO,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 JOSÉ ROBERTO OLIVEIRA FARO,M,82,10,0,5,17,0, 20/06/1969,348358.45,50640.64,51528.8,53130.42,38245.47,56264.93,15343.49,16815.59,14152.72,12879.36,11197.03,28160.0,0,1107132.6,111210.84,110666.21,109899.05,111210.84,111210.84,110568.67,110434.02,111210.84,111210.84,109510.45,,,33763.0,0
 FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86,0,6,30,16,8, 29/11/1963,324962.29,30256.2,36235.51,35264.16,42584.56,50388.49,23719.29,43121.12,20178.34,14497.37,26697.48,2019.77,0,1093456.69,111574.69,111574.69,111574.69,111574.69,111574.69,99983.33,107556.02,108772.32,109170.84,110100.73,,,33763.0,0
 HUMBERTO REZENDE PEREIRA,M,87,3,2,29,42,3, 14/11/1977,317620.57,31302.38,37733.45,46071.17,46424.41,43050.57,37786.28,29839.31,16128.37,5877.55,23407.08,0.0,0,1114088.41,111514.04,111586.8,110868.87,111514.0,111457.65,111586.78,110672.43,111629.28,111629.28,111629.28,,,33763.0,0
